UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
PL,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Experienced: Professional or Non-Management,Yes,More than 5 years,,,,,,Warenverräumung,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants,Coffee shops and tea houses",,Experienced: Professional or Non-Management,Yes,Less than 6 months,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Maximum capacity in number of persons,50,,,,5 persons,"€100,000 – €250,000","More than 500,000 inhabitants","Friday,Saturday,Sunday","Opening time,Closing time",14:00,23:00,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Hip-Hop / Rap,Dance / Electronic,R&B,Country",,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.),Purchased music (CDs, digital downloads, etc.)",,No,Yes,3-4 times a month,"Solo artists,DJ sessions",,Country,,Up to 50 people,,Decreased,Decreased by 25% to 50%,,1,2,3,4,6,7,5,,Donations from the guests,,,,Increases significantly,Increasing revenue,,Sponsorships,,High artist fees,,,,,,,,,
DE,Part-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Coffee shops and tea houses,,Experienced: Professional or Non-Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Stay-at-Home Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Travel / Tourism / Hospitality,"Hotels and similar accommodation,Holiday and other short-stay accommodation,Resort and destination dining",,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Maximum capacity in number of persons,18,,,,10-20 persons,€5 million – €15 million,"100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",0,24,Every day,Yes,Randomly selected or played by chance,,Pop,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Radio (FM, AM or internet radio) or TV",,Yes,Yes,1-2 times a month,DJ sessions,,"Pop,R&B,Jazz,Folk",,Up to 50 people,,Increased,,Increased by 25% to 50%,,,,,,,,,Paid by the guests (ticket/entry),,25,40,Increases slightly,Enhancing customer experience,,"Ticket sales,Increased food and beverage sales,Merchandise sales",,"High artist fees,Licensing and regulation costs,Difficulty attracting audiences,Equipment and venue space limitations",,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Food / Beverage / Restaurant,"Hotels and similar accommodation,Full-service restaurants",,Middle Management (Director / Divisional / Department Head),Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,Maximum capacity in number of persons,150,,,,Above 20 persons,"€250,000 – €500,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday","Opening time,Closing time",6,23,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,"Classical / Opera,Country",,"Radio (FM, AM or internet radio) or TV",,No,Yes,3-4 times a year,"Solo artists,Bands,DJ sessions",,Folk,,101–150 people,,Increased,,Increased by 25% to 50%,,,,,,,,,Paid by the guests (ticket/entry),,70,150,No change,Increasing revenue,,"Ticket sales,Increased food and beverage sales",,"High artist fees,Unpredictable revenue,Licensing and regulation costs",,,,,,,,,
PL,Stay-at-Home Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Food / Beverage / Restaurant,Coffee shops and tea houses,,Owner / Partner,Yes,1–3 years,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Maximum capacity in number of persons,7,,,,0 person (self-employed),"Less than €100,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday","Opening time,Closing time","6,30","15,30",Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,Jazz,,"Purchased music (CDs, digital downloads, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,"Catering for corporate events, weddings, and parties",,Front Line Management,Yes,More than 5 years,,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",Hr,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Food / Beverage / Restaurant,Nightclubs and entertainment venues,,Owner / Partner,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)",,No,Squared meters,,,,76,5-10 persons,"Less than €100,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",16,03:00,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Hip-Hop / Rap",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,Yes,1-2 times a week,DJ sessions,,Hip-Hop / Rap,,Up to 50 people,,Increased,,Increased by 0% to 25%,,,,,,,,,Paid by the guests (ticket/entry),,25,50,Increases significantly,Supporting local talent,,"Ticket sales,Increased food and beverage sales,Merchandise sales",,"Licensing and regulation costs,Noise complaints from neighbours or authorities,Difficulty attracting audiences",,,,,,,,,
PL,Full-time Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,6 months to 1 year,,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,,,No,Squared meters,,,,20000,10-20 persons,I do not know,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",04:30,23:30,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"R&B,Classical / Opera,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,I’m not sure,Yes,3-4 times a month,"Bands,DJ sessions,Classical ensembles",,"Pop,Rock,Hip-Hop / Rap,Dance / Electronic",,101–150 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases slightly,Marketing and promotion,,"Increased food and beverage sales,Sponsorships,Merchandise sales",,"Licensing and regulation costs,Noise complaints from neighbours or authorities",,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Hotels and similar accommodation,,Front Line Management,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Hotels and similar accommodation,Resort and destination dining",,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Catering for corporate events, weddings, and parties,Themed restaurants",,Front Line Management,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",Supervisione ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Front Line Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,Industria alimentare,Front Line Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Food / Beverage / Restaurant,Street food vendors and food trucks,,Experienced: Professional or Non-Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",Kelner,No,Number of rooms,,,8,,2 persons,"€100,000 – €250,000","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday",Opening time,8,,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Pop,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,I’m not sure,Yes,3-4 times a year,DJ sessions,,"Pop,Hip-Hop / Rap",,Up to 50 people,,Stayed the same,,,,,,,,,,,Paid by the guests (subscription),,,,No change,Customer retention,,Increased food and beverage sales,,High artist fees,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Middle Management (Director / Divisional / Department Head),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Healthcare / Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Travel / Tourism / Hospitality,Coffee shops and tea houses,,Experienced: Professional or Non-Management,Yes,More than 5 years,,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges,Coffee shops and tea houses,Resort and destination dining",,Owner / Partner,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Wine bars and tasting rooms,,Senior Management (CEO / VP / Managing Director),Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Stay-at-Home Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time Student (working MORE than 30 hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Senior Management (CEO / VP / Managing Director),Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,No,Maximum capacity in number of persons,85,,,,5-10 persons,"€500,000 – €1 million","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",6,23.45,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Hip-Hop / Rap,Classical / Opera,Jazz",,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.),Radio (FM, AM or internet radio) or TV",,I’m not sure,Yes,3-4 times a week,"Solo artists,DJ sessions,Classical ensembles",,"Pop,Hip-Hop / Rap,Dance / Electronic",,51–100 people,,Stayed the same,,,,,,,,,,,Paid by the guests (ticket/entry),,45,120,Increases significantly,Attracting new customers,,Increased food and beverage sales,,High artist fees,,,,,,,,,
DE,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,Supermarket ,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,Full-service restaurants,,Owner / Partner,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Utilities (Electricity, Gas, Water)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Food / Beverage / Restaurant,Other:,lodziarnia,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Food / Beverage / Restaurant,"Full-service restaurants,Catering for corporate events, weddings, and parties",,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Street food vendors and food trucks,,Front Line Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,,,,No,,,,,,5-10 persons,"€100,000 – €250,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",9,22,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Latin,Classical / Opera,Jazz,Folk",,"Purchased music (CDs, digital downloads, etc.)",,Yes,Yes,1-2 times a week,"Solo artists,Bands,Classical ensembles",,"Pop,Classical / Opera,Jazz,Folk",,Up to 50 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases significantly,Customer retention,,"Increased food and beverage sales,Merchandise sales",,"Unpredictable revenue,Equipment and venue space limitations",,,,,,,,,
PL,Part-time,Food / Beverage / Restaurant,Full-service restaurants,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
